ds,GHI_A_DATA_Avg,POA_A_DATA_2_Avg,AirTC_Avg_Degree Celcius,RH_%,POA_A_DATA_3_Avg,WS_Avg_km/h,T110PV_C_Avg_Degree Celcius
11/21/2024 5:44:00 PM,49.1331065269824,31.8607753345662,34.0456798455632,22.9009818614638,25.669130553849,-18.437442983748,38.2004311479187
11/21/2024 5:45:00 PM,46.7834828168838,29.2273793651256,34.0102332525636,22.9738780734387,23.1373671614534,-18.4805161775729,38.0917936281659
11/21/2024 5:46:00 PM,44.453839448137,26.6153102722404,33.9746666101488,23.04707331803,20.6270785724043,-18.5235997417847,37.9834910988136
11/21/2024 5:47:00 PM,42.1443036652831,24.0247270570434,33.9389830869647,23.1205604546057,18.1384064494218,-18.5666891498621,37.8755312416693
11/21/2024 5:48:00 PM,39.8549996192331,21.4557854669644,33.9031858628444,23.1943323100001,15.6714892106921,-18.6097798789089,37.7679216896148
11/21/2024 5:49:00 PM,37.58604836004,18.9086379826963,33.8672781286998,23.2683816783394,13.2264620191385,-18.6528674098591,37.6606700258156
11/21/2024 5:50:00 PM,35.3375678419759,16.383433819314,33.8312630856248,23.3427013253885,10.8034567871961,-18.6959472288357,37.5537837834028
11/21/2024 5:51:00 PM,33.1096728386738,13.8803188259875,33.7951439436373,23.4172839895909,8.40260208181371,-18.7390148291212,37.4472704410606
11/21/2024 5:52:00 PM,30.9024749868111,11.3994355302164,33.7589239219574,23.4921223813455,6.02402317067049,-18.7820657107868,37.3411374244231
11/21/2024 5:53:00 PM,28.7160827094911,8.94092304670648,33.7226062473544,23.5672091882897,3.66784193594712,-18.8250953830759,37.2353921020669
11/21/2024 5:54:00 PM,26.5506011902118,6.50491704323518,33.6861941530503,23.6425370765434,1.33417684567115,-18.8680993658563,37.1300417834616
11/21/2024 5:55:00 PM,24.4061324438418,4.09154981525723,33.6496908801723,23.7180986873202,-0.976856973415834,-18.9110731884934,37.025093722033
11/21/2024 5:56:00 PM,22.2827751538668,1.70095009779323,33.6130996739494,23.7938866478652,-3.26514791314573,-18.9540123937559,36.9205551065935
11/21/2024 5:57:00 PM,20.1806247528371,-0.666756849276239,33.5764237851652,23.869893564849,-5.5305877996671,-18.9969125373474,36.8164330646493
11/21/2024 5:58:00 PM,18.0997733891994,-3.01144928358016,33.5396664688252,23.9461120310327,-7.77307193113137,-19.0397691888868,36.7127346601615
11/21/2024 5:59:00 PM,16.0403098601364,-5.33300906128413,33.5028309827833,24.0225346245938,-9.99249915270698,-19.0825779343624,36.6094668895202
11/21/2024 6:00:00 PM,13.1077012353393,-8.92390317256331,33.4652628912864,24.1116742387362,-13.3490483025652,-19.1473829318893,36.4677379653731
11/21/2024 6:01:00 PM,11.0912664994389,-11.1988574710486,33.4282808508927,24.1884827765165,-15.5220722930944,-19.1900826880324,36.3653521853241
11/21/2024 6:02:00 PM,9.09646596758555,-13.4503462291166,33.3912304281439,24.2654731136192,-17.671757124488,-19.2327213982238,36.263417620919
11/21/2024 6:03:00 PM,7.12337501839959,-15.6782657655591,33.3541148876095,24.3426377909436,-19.7980158701963,-19.2752947203358,36.1619409911745
11/21/2024 6:04:00 PM,5.17206560821776,-17.8825161045033,33.316937492797,24.419969346075,-21.9007652388232,-19.3177983339895,36.0609289403858
